                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4714,                0.79408,                 1.0839,                0.90832,                0.81668,                0.89053,                0.50195,                 1.2664,                 0.6347,                 1.0614,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.4526,                0.78306,                 1.0801,                 0.9103,                0.80646,                0.88414,                0.49798,                 1.2829,                0.62389,                 1.0718,               0.000614,               0.000614,               0.000614
                     37,                 1.4441,                0.76822,                 1.0739,                0.90922,                0.82228,                0.89386,                 0.5053,                 1.2656,                 0.6075,                 1.0632,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4434,                0.77076,                 1.0695,                0.91547,                0.81408,                0.89285,                0.50818,                 1.2549,                  0.597,                  1.059,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.4281,                0.75202,                 1.0654,                0.91073,                0.82756,                0.89316,                0.50324,                 1.2498,                0.60289,                 1.0462,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.4077,                0.75248,                 1.0597,                0.91774,                0.82262,                0.89898,                0.51199,                 1.2474,                0.59215,                 1.0493,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.4355,                0.73674,                 1.0834,                 0.9231,                0.82322,                0.90164,                0.51378,                 1.2429,                0.58134,                 1.0486,               0.000416,               0.000416,               0.000416
                     42,                 1.4067,                0.71123,                 1.0722,                0.91879,                0.83218,                0.90399,                0.52232,                 1.2187,                0.57508,                 1.0355,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3971,                0.70091,                 1.0707,                0.92241,                0.82706,                0.90311,                0.51843,                 1.2289,                0.57194,                 1.0417,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3877,                0.68878,                 1.0647,                0.91796,                0.82493,                0.89949,                0.51847,                 1.2316,                0.56423,                 1.0401,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.3725,                0.67887,                 1.0588,                0.92487,                0.83204,                0.90655,                0.52585,                 1.2106,                0.55186,                 1.0301,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3644,                0.67768,                 1.0564,                0.92514,                0.83119,                0.90125,                0.52515,                 1.2181,                 0.5517,                 1.0348,               0.000218,               0.000218,               0.000218
                     47,                 1.3479,                0.66584,                 1.0475,                0.92835,                0.83296,                 0.9057,                0.52822,                 1.1972,                0.54577,                  1.027,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3501,                0.65802,                 1.0484,                0.92608,                0.83482,                0.90681,                0.52843,                 1.2092,                0.54969,                  1.029,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.3353,                0.65086,                 1.0413,                0.92324,                0.83383,                0.90734,                0.53156,                 1.1931,                0.54201,                 1.0221,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.3286,                0.64819,                 1.0355,                0.92697,                0.83778,                0.90825,                 0.5324,                 1.1941,                0.53769,                  1.022,               5.96e-05,               5.96e-05,               5.96e-05
