                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.407,                0.73132,                 1.0554,                0.91949,                0.84174,                0.91497,                0.52654,                  1.207,                0.57123,                 1.0291,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3711,                0.71361,                 1.0479,                0.91532,                0.84823,                0.91402,                0.52332,                 1.2182,                0.58473,                 1.0362,               0.000614,               0.000614,               0.000614
                     37,                 1.3782,                0.70703,                 1.0486,                0.91725,                0.84428,                0.91593,                 0.5316,                 1.1957,                0.56452,                 1.0192,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3753,                0.70592,                 1.0414,                0.90846,                0.85229,                0.91796,                0.52851,                  1.206,                0.60639,                 1.0253,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.3575,                0.68725,                 1.0382,                0.91824,                0.84422,                0.91689,                0.53412,                 1.1927,                0.55278,                 1.0211,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.3439,                0.68478,                  1.037,                 0.9251,                0.85922,                0.92302,                0.54095,                 1.1746,                0.54903,                 1.0126,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.3655,                0.66926,                 1.0521,                0.91882,                0.84965,                0.92283,                0.54096,                 1.1845,                0.55901,                 1.0166,               0.000416,               0.000416,               0.000416
                     42,                 1.3474,                 0.6509,                 1.0467,                0.92397,                0.85262,                0.92413,                0.54664,                   1.16,                0.54226,                 1.0071,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.3286,                0.63898,                 1.0383,                0.92937,                0.84603,                0.92386,                0.54936,                 1.1601,                0.53498,                 1.0041,              0.0003368,              0.0003368,              0.0003368
                     44,                  1.318,                0.62813,                 1.0331,                0.92262,                0.85955,                0.92843,                0.54999,                 1.1624,                0.52829,                  1.006,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2996,                0.61753,                 1.0269,                0.92934,                0.85432,                0.92628,                 0.5537,                 1.1489,                0.52069,                 1.0014,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.293,                 0.6155,                 1.0269,                0.93304,                0.85909,                0.92954,                0.55695,                 1.1464,                0.51488,                  0.999,               0.000218,               0.000218,               0.000218
                     47,                 1.2878,                0.60732,                 1.0178,                0.93851,                0.86152,                0.93384,                 0.5609,                 1.1386,                0.51128,                0.99277,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.2824,                0.60536,                 1.0197,                0.92737,                0.87141,                0.93395,                0.56113,                 1.1354,                0.51134,                0.99397,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2729,                0.59659,                 1.0164,                0.92704,                0.86845,                0.93494,                0.56355,                 1.1279,                0.50775,                0.99057,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.2681,                0.59219,                 1.0119,                0.93047,                 0.8692,                0.93529,                0.56408,                 1.1265,                0.50306,                0.98912,               5.96e-05,               5.96e-05,               5.96e-05
