                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5057,                0.82158,                 1.0814,                0.89362,                 0.8269,                0.89769,                0.50429,                 1.2836,                0.67787,                 1.0446,              0.0086852,              0.0086852,              0.0086852
                     36,                 1.4771,                0.81431,                 1.0747,                0.91137,                0.81032,                0.89445,                0.50247,                 1.2856,                0.68747,                 1.0418,              0.0086465,              0.0086465,              0.0086465
                     37,                 1.4856,                0.80457,                 1.0799,                0.89827,                 0.8269,                0.89772,                0.50629,                 1.2583,                0.69969,                 1.0286,              0.0086078,              0.0086078,              0.0086078
                     38,                 1.4755,                0.80379,                 1.0691,                0.89896,                0.81257,                0.89394,                0.49747,                 1.3052,                0.71855,                  1.046,              0.0085691,              0.0085691,              0.0085691
                     39,                 1.4567,                0.78575,                 1.0644,                0.89967,                0.80514,                0.89068,                0.49704,                 1.2771,                0.64264,                 1.0394,              0.0085305,              0.0085305,              0.0085305
                     40,                   1.45,                0.78797,                  1.066,                0.90869,                0.82855,                0.90384,                0.50888,                 1.2547,                0.64968,                 1.0324,              0.0084918,              0.0084918,              0.0084918
                     41,                 1.4513,                0.78636,                  1.068,                0.90708,                0.82295,                 0.9026,                0.50767,                 1.2647,                0.64797,                 1.0372,              0.0084531,              0.0084531,              0.0084531
                     42,                 1.4365,                0.77814,                  1.066,                0.89526,                0.81833,                0.89885,                0.50497,                 1.2787,                0.65914,                 1.0333,              0.0084145,              0.0084145,              0.0084145
                     43,                 1.4591,                0.77879,                 1.0648,                0.90169,                0.82723,                0.89922,                0.51062,                 1.2476,                0.67526,                 1.0242,              0.0083758,              0.0083758,              0.0083758
                     44,                 1.4565,                0.77681,                 1.0617,                0.89619,                0.85393,                0.91163,                 0.5176,                 1.2496,                0.62402,                 1.0256,              0.0083371,              0.0083371,              0.0083371
                     45,                 1.4299,                0.76467,                 1.0526,                0.90563,                0.84485,                 0.9076,                0.51918,                 1.2456,                0.64669,                 1.0221,              0.0082984,              0.0082984,              0.0082984
                     46,                 1.4474,                0.76925,                  1.061,                0.90897,                0.83712,                0.90726,                0.51616,                 1.2713,                0.63424,                 1.0379,              0.0082598,              0.0082598,              0.0082598
                     47,                 1.4255,                0.75295,                  1.049,                0.90913,                0.82921,                0.90208,                0.51984,                 1.2322,                0.62992,                 1.0213,              0.0082211,              0.0082211,              0.0082211
                     48,                 1.4272,                0.76035,                 1.0523,                0.89824,                0.84687,                0.90773,                0.52598,                 1.2132,                0.61248,                 1.0049,              0.0081824,              0.0081824,              0.0081824
                     49,                 1.4424,                0.77141,                 1.0518,                0.90507,                0.84669,                0.91289,                0.51668,                 1.2554,                0.61894,                 1.0299,              0.0081437,              0.0081437,              0.0081437
                     50,                 1.4304,                0.75699,                 1.0485,                0.90748,                0.82789,                0.91093,                 0.5199,                 1.2631,                0.59982,                 1.0324,              0.0081051,              0.0081051,              0.0081051
                     51,                 1.4313,                0.75423,                   1.05,                0.90872,                0.85014,                0.91724,                0.52764,                 1.2258,                 0.5957,                  1.012,              0.0080664,              0.0080664,              0.0080664
                     52,                 1.4162,                0.73708,                 1.0472,                0.91373,                0.84405,                0.91266,                0.53023,                 1.2235,                0.58974,                 1.0169,              0.0080277,              0.0080277,              0.0080277
                     53,                 1.4351,                0.75276,                 1.0518,                0.90549,                0.85291,                0.91676,                0.53026,                  1.234,                0.62349,                 1.0103,              0.0079891,              0.0079891,              0.0079891
                     54,                 1.4081,                 0.7398,                 1.0404,                0.92198,                0.84543,                0.91472,                0.53105,                 1.2241,                0.58076,                 1.0088,              0.0079504,              0.0079504,              0.0079504
                     55,                 1.4077,                0.73845,                 1.0426,                0.92674,                0.84833,                0.91736,                0.52948,                 1.2302,                 0.5799,                 1.0126,              0.0079117,              0.0079117,              0.0079117
                     56,                 1.4098,                0.73264,                 1.0422,                0.92666,                0.83733,                0.91657,                0.53308,                 1.2057,                0.59312,                 1.0029,               0.007873,               0.007873,               0.007873
                     57,                 1.4075,                0.73877,                 1.0382,                0.91688,                0.85104,                0.91861,                0.53285,                 1.2235,                0.63467,                 1.0109,              0.0078344,              0.0078344,              0.0078344
                     58,                 1.3944,                 0.7347,                 1.0423,                0.91904,                0.84372,                0.91398,                0.53051,                 1.2194,                0.57422,                 1.0133,              0.0077957,              0.0077957,              0.0077957
                     59,                 1.3939,                0.72652,                 1.0364,                 0.9083,                0.85658,                0.91655,                0.53187,                 1.2028,                0.58184,                 1.0045,               0.007757,               0.007757,               0.007757
                     60,                 1.3903,                0.72753,                 1.0356,                0.91615,                0.84932,                0.92343,                0.53689,                 1.2041,                0.57359,                 1.0062,              0.0077184,              0.0077184,              0.0077184
                     61,                 1.3831,                0.72268,                 1.0336,                0.91927,                0.85976,                0.92568,                0.53514,                 1.2134,                0.57661,                  1.006,              0.0076797,              0.0076797,              0.0076797
                     62,                 1.3821,                0.71465,                 1.0319,                0.91939,                0.84471,                0.91522,                0.53001,                 1.2124,                0.56737,                 1.0067,               0.007641,               0.007641,               0.007641
